grade,avg_dti,avg_income,avg_fico_score,avg_interest_rate,avg_loan_amount,avg_open_accounts,avg_derogatory_records,total_loans,default_rate_pct
A,15.61,88970.74,727.52,7.11,13891.81,11.93,0.11,235054,6.04
B,17.38,76486.19,697.12,10.68,13236.87,11.41,0.22,392650,13.39
C,18.92,72729.06,687.97,14.02,14187.17,11.49,0.25,381550,22.44
D,20.19,70180.94,683.27,17.72,15271.60,11.55,0.25,200887,30.38
E,20.84,72044.83,682.04,21.14,17618.87,11.81,0.24,93622,38.48
F,20.97,73095.64,679.89,24.93,19087.96,12.00,0.25,32047,45.21
G,21.52,76242.51,678.57,27.72,20588.13,12.30,0.25,9126,49.92
